id;companyId;containerId;createdAt;customer;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;updatedAt;version
2001;1;;16/08/2025 07:08;1831;000001;765411;KDSPro;POS;;True;3803;False;NOW;DELIVERY;EPADOCA;;DELIVERED;25;2140;111.35;23/08/2025 06:34;v2.6.1
2002;1;;22/08/2025 05:43;1344;000002;765411;IfoodBridge;APP;;True;3803;False;NOW;INDOOR;SITE;;DISPATCHED;9;1866;72.24;26/08/2025 03:47;v2.1.7
2003;1;;18/06/2025 04:53;1167;000003;765411;IfoodBridge;WEB;;True;3803;False;NOW;DELIVERY;ANOTAAI;;PREPARING;29;1235;93.78;23/06/2025 00:01;v2.3.0
2004;1;;26/02/2024 15:13;1042;000004;765411;DirectOrder;APP;;True;3803;False;NOW;DELIVERY;99FOOD;;DELIVERED;3;1591;168.9;06/03/2024 22:33;v1.7.2
2005;1;;09/10/2024 04:21;1807;000005;765411;KDSPro;APP;;True;3803;False;SCHEDULED;DELIVERY;SITE;12/10/2024 00:21;DELIVERED;15;1909;79.73;21/10/2024 01:14;v2.0.4
2006;1;;02/03/2025 13:52;1755;000006;765411;IfoodBridge;POS;;True;3803;False;NOW;DELIVERY;DELIVERYVIP;;DELIVERED;20;1040;82.19;16/03/2025 06:55;v3.1.1
2007;1;;28/11/2025 12:38;1667;000007;765411;KDSPro;WEB;;True;3803;False;NOW;DELIVERY;SITE;;CANCELLED;12;574;67.89;10/12/2025 06:24;v1.1.9
2008;1;;07/10/2025 16:17;1840;000008;765411;DirectOrder;WEB;;True;3803;False;NOW;DELIVERY;WHATSAPP;;CANCELLED;12;1944;74.32;09/10/2025 04:36;v3.8.4
2009;1;;26/01/2024 19:10;1787;000009;765411;IfoodBridge;WEB;;True;3803;False;NOW;DELIVERY;WHATSAPP;;DELIVERED;18;1332;72.78;03/02/2024 01:55;v3.5.5
2010;1;;18/04/2025 12:13;1254;000010;765411;IfoodBridge;APP;;True;3803;False;SCHEDULED;DELIVERY;99FOOD;18/04/2025 20:13;CANCELLED;3;1546;168.78;23/04/2025 11:45;v3.7.4
2011;1;;29/09/2025 19:50;1353;000011;765411;KDSPro;APP;;True;3803;False;NOW;INDOOR;EPADOCA;;PREPARING;19;1021;29.29;04/10/2025 14:00;v1.7.1
2012;1;;27/12/2025 16:21;1022;000012;765411;IfoodBridge;WEB;;True;3803;False;SCHEDULED;DELIVERY;DELIVERYVIP;28/12/2025 23:21;DISPATCHED;22;831;74.01;29/12/2025 08:26;v2.4.3
2013;1;;24/11/2025 03:25;1107;000013;765411;KDSPro;POS;;True;3803;False;NOW;INDOOR;WHATSAPP;;DISPATCHED;16;60;28.83;07/12/2025 18:26;v3.1.2
2014;1;;25/09/2024 17:15;1103;000014;765411;KDSPro;POS;;True;3803;False;NOW;TAKEOUT;99FOOD;;CANCELLED;27;484;82.04;26/09/2024 16:39;v3.0.0
2015;1;;22/07/2024 00:34;1740;000015;765411;IfoodBridge;APP;;True;3803;False;NOW;DELIVERY;WHATSAPP;;DELIVERED;19;2055;104.42;04/08/2024 23:40;v1.2.2
2016;1;;02/10/2025 19:21;1171;000016;765411;IfoodBridge;POS;;True;3803;False;NOW;DELIVERY;EPADOCA;;CREATED;23;725;109.28;15/10/2025 17:32;v2.1.8
2017;1;;09/01/2024 20:23;1630;000017;765411;KDSPro;WEB;;False;3803;False;NOW;DELIVERY;EPADOCA;;CREATED;26;2591;178.62;19/01/2024 09:18;v2.4.2
2018;1;;28/06/2024 03:26;1813;000018;765411;KDSPro;POS;;True;3803;True;NOW;DELIVERY;99FOOD;;DISPATCHED;12;1207;152.63;01/07/2024 09:57;v1.2.3
2019;1;;31/03/2024 21:12;1892;000019;765411;KDSPro;WEB;;True;3803;False;NOW;INDOOR;ANOTAAI;;DELIVERED;13;646;58.86;05/04/2024 00:04;v2.0.8
2020;1;;25/06/2024 10:14;1659;000020;765411;IfoodBridge;POS;;True;3803;False;NOW;DELIVERY;IFOOD;;DELIVERED;12;2483;81.06;27/06/2024 07:38;v1.9.8
2021;1;;19/09/2025 05:00;1596;000021;765411;CannoliEngine;WEB;;True;3803;False;NOW;DELIVERY;IFOOD;;DISPATCHED;28;1319;54.42;02/10/2025 08:27;v1.2.9
2022;1;;08/09/2025 08:51;1943;000022;765411;CannoliEngine;POS;;True;3803;False;NOW;INDOOR;ANOTAAI;;PREPARING;10;1027;61.5;08/09/2025 10:40;v1.8.8
2023;1;;18/04/2024 02:16;1359;000023;765411;IfoodBridge;APP;;True;3803;False;SCHEDULED;INDOOR;WHATSAPP;18/04/2024 23:16;DISPATCHED;22;1886;41.27;20/04/2024 05:02;v1.7.5
2024;1;;28/09/2025 15:39;1962;000024;765411;DirectOrder;POS;;True;3803;False;NOW;DELIVERY;WHATSAPP;;PREPARING;14;332;134.81;12/10/2025 05:04;v2.3.5
2025;1;;01/05/2025 00:56;1584;000025;765411;KDSPro;APP;;True;3803;False;NOW;DELIVERY;ANOTAAI;;CANCELLED;28;431;72.94;13/05/2025 21:44;v1.5.3
2026;1;;11/12/2025 02:43;1892;000026;765411;CannoliEngine;APP;;True;3803;False;NOW;TAKEOUT;SITE;;PREPARING;8;1700;64.81;22/12/2025 09:04;v2.7.0
2027;1;;24/03/2025 10:12;1825;000027;765411;KDSPro;POS;;True;3803;False;NOW;DELIVERY;DELIVERYVIP;;DELIVERED;19;2170;66.37;03/04/2025 13:03;v3.6.7
2028;1;;08/10/2025 00:54;1811;000028;765411;CannoliEngine;WEB;;False;3803;False;SCHEDULED;DELIVERY;IFOOD;10/10/2025 13:54;DISPATCHED;20;1680;101.98;21/10/2025 00:44;v3.4.9
2029;1;;12/04/2024 00:55;1337;000029;765411;IfoodBridge;APP;;True;3803;True;NOW;TAKEOUT;ANOTAAI;;PREPARING;21;1108;78.0;19/04/2024 15:57;v1.6.2
2030;1;;19/11/2023 20:02;1211;000030;765411;IfoodBridge;WEB;;True;3803;False;SCHEDULED;INDOOR;SITE;21/11/2023 13:02;CANCELLED;9;1402;54.15;24/11/2023 14:43;v3.1.3
2031;1;;18/12/2025 05:41;1684;000031;765411;CannoliEngine;POS;;True;3803;False;NOW;DELIVERY;WHATSAPP;;CANCELLED;22;929;187.04;21/12/2025 05:24;v1.2.5
2032;1;;12/05/2024 06:57;1585;000032;765411;KDSPro;APP;;True;3803;False;NOW;DELIVERY;IFOOD;;DISPATCHED;23;1259;101.47;17/05/2024 12:34;v3.6.3
2033;1;;13/10/2024 19:00;1105;000033;765411;DirectOrder;WEB;;True;3803;False;NOW;DELIVERY;DELIVERYVIP;;CANCELLED;17;781;73.26;16/10/2024 02:53;v2.8.0
2034;1;;04/11/2024 22:38;1896;000034;765411;KDSPro;APP;;True;3803;False;NOW;DELIVERY;DELIVERYVIP;;DELIVERED;24;1127;176.44;15/11/2024 02:27;v3.1.4
2035;1;;29/09/2025 16:58;1598;000035;765411;CannoliEngine;WEB;;True;3803;False;NOW;TAKEOUT;DELIVERYVIP;;PREPARING;17;311;106.08;02/10/2025 23:04;v2.1.3
2036;1;;23/03/2024 00:21;1512;000036;765411;KDSPro;APP;;True;3803;False;NOW;DELIVERY;IFOOD;;CREATED;17;1290;116.82;29/03/2024 02:27;v3.3.0
2037;1;;14/10/2025 10:09;1363;000037;765411;CannoliEngine;POS;;True;3803;False;NOW;TAKEOUT;EPADOCA;;DELIVERED;24;1870;78.71;20/10/2025 18:33;v2.6.9
2038;1;;01/02/2024 14:46;1521;000038;765411;IfoodBridge;POS;;False;3803;False;NOW;INDOOR;ANOTAAI;;CREATED;18;1051;50.71;02/02/2024 22:05;v1.7.0
